respondent_id,age,gender,country,education_level,industry,job_role,years_in_role,company_size,digital_adoption_score,ai_usage_frequency,growth_mindset_score,limiting_beliefs_score,change_resistance_level,training_hours_last_year,leadership_score,team_openness_score,recent_failed_initiatives,positive_feedback_percent,retention_intent,survey_date
21,21,Female,Japan,Master's,Retail,Technical Specialist,1,51-200,51.05,Occasionally,66.28,40.42,Medium,10,41.43,50.41,0,54.67,Likely,2024-08-16 04:47:08.279077
22,40,Male,Japan,High School,Education,Technical Specialist,1,1-50,80.03,Rarely,61.1,44.66,Medium,9,62.75,63.81,1,56.39,Likely,2025-05-17 04:47:08.279077
23,52,Other,Australia,Bachelor's,IT,Staff,10,201-1000,31.18,Daily,75.01,26.46,Low,10,36.72,42.52,2,56.68,Likely,2024-11-12 04:47:08.279077
24,31,Female,France,Bachelor's,Healthcare,Manager,7,51-200,73.53,Rarely,39.8,48.39,Medium,23,59.77,54.63,0,41.94,Unlikely,2025-07-01 04:47:08.279077
25,41,Male,USA,Bachelor's,Government,HR,3,1-50,51.86,Rarely,71.46,19.19,Low,10,53.84,43.7,0,58.75,Likely,2025-07-28 04:47:08.279077
26,44,Female,Germany,Bachelor's,Finance,Manager,1,51-200,54.3,Never,74.78,29.86,Low,19,90.97,100.0,1,88.31,Very Likely,2025-05-09 04:47:08.279077
27,46,Male,UK,High School,Energy,Technical Specialist,5,1001+,44.41,Rarely,69.79,34.11,Medium,14,79.33,91.33,0,61.51,Likely,2025-03-05 04:47:08.279077
28,47,Female,South Africa,Master's,Energy,Executive,4,1-50,67.8,Rarely,45.1,34.84,Medium,25,87.53,83.71,3,74.27,Likely,2024-11-23 04:47:08.279077
29,35,Female,South Africa,Bachelor's,IT,Staff,3,201-1000,64.02,Occasionally,57.13,33.74,Medium,12,25.62,35.38,1,35.35,Unlikely,2025-03-20 04:47:08.279077
30,34,Male,Australia,Master's,Consulting,Staff,2,201-1000,75.21,Occasionally,54.83,50.66,Medium,9,52.03,65.84,1,58.02,Likely,2025-05-31 04:47:08.279077
31,22,Female,Canada,High School,Government,Executive,3,201-1000,74.63,Never,90.11,6.65,Low,24,96.24,82.02,3,100.0,Very Likely,2024-12-23 04:47:08.279077
32,56,Male,Japan,Master's,Retail,Manager,5,51-200,83.04,Often,43.68,58.69,Medium,20,33.11,28.78,2,24.73,Very Unlikely,2024-08-06 04:47:08.279077
33,26,Male,France,Bachelor's,Energy,Staff,7,201-1000,71.75,Often,36.11,58.91,Medium,11,31.39,17.95,0,39.62,Unlikely,2024-10-23 04:47:08.279077
34,40,Male,Canada,Master's,Education,Operations,3,1-50,64.26,Occasionally,70.73,15.85,Low,9,7.43,26.12,0,17.57,Very Unlikely,2025-07-26 04:47:08.279077
35,28,Female,Australia,Bachelor's,Retail,Technical Specialist,5,1-50,77.78,Rarely,73.29,12.48,Low,12,69.17,56.15,1,62.73,Likely,2025-03-07 04:47:08.279077
36,58,Male,India,Bachelor's,IT,Technical Specialist,2,201-1000,45.18,Occasionally,76.32,26.85,Low,14,39.01,36.01,0,53.38,Likely,2025-01-24 04:47:08.279077
37,37,Male,UK,High School,Media,Staff,4,51-200,66.64,Never,68.92,31.83,Low,13,58.12,60.97,2,70.6,Likely,2024-12-23 04:47:08.279077
38,23,Female,France,Master's,IT,Manager,3,51-200,44.4,Never,29.56,69.77,High,32,41.55,63.29,0,49.59,Unlikely,2024-10-21 04:47:08.279077
39,44,Male,Canada,Bachelor's,Manufacturing,Technical Specialist,6,1001+,76.72,Occasionally,87.37,20.04,Low,12,49.95,51.63,0,52.89,Likely,2024-11-21 04:47:08.279077
40,33,Male,South Africa,Other,Healthcare,Staff,5,1-50,55.43,Never,60.66,47.46,Medium,17,61.92,90.07,0,66.55,Likely,2025-01-22 04:47:08.279077
41,28,Male,France,Bachelor's,Manufacturing,Staff,3,1-50,73.93,Occasionally,79.16,25.6,Low,13,31.52,42.67,0,47.7,Unlikely,2024-09-24 04:47:08.279077
42,45,Male,Japan,Bachelor's,IT,Manager,5,51-200,53.97,Often,52.62,31.7,Low,26,37.45,50.43,1,44.36,Unlikely,2024-09-19 04:47:08.279077
43,21,Female,Germany,Bachelor's,Energy,Manager,3,51-200,74.21,Occasionally,63.69,29.11,Low,21,48.23,70.25,1,67.66,Likely,2025-02-13 04:47:08.279077
44,39,Male,USA,Bachelor's,Manufacturing,Staff,4,51-200,58.46,Often,63.38,42.48,Medium,7,32.95,50.36,1,61.25,Likely,2024-09-21 04:47:08.279077
45,47,Prefer not to say,Germany,Master's,Manufacturing,Staff,5,51-200,67.41,Occasionally,76.29,33.56,Medium,12,0.77,7.68,0,35.75,Unlikely,2025-02-02 04:47:08.279077
46,26,Female,Australia,High School,Healthcare,Executive,3,1-50,59.04,Often,58.82,38.59,Medium,16,94.21,91.61,1,70.5,Likely,2025-01-26 04:47:08.279077
47,27,Male,India,Bachelor's,Consulting,Technical Specialist,1,1001+,50.64,Occasionally,66.4,42.49,Medium,6,65.07,40.32,1,55.37,Likely,2025-06-08 04:47:08.279077
48,54,Male,Brazil,Bachelor's,Government,Staff,5,1-50,56.03,Never,75.23,22.73,Low,9,35.23,20.24,1,65.28,Likely,2024-12-16 04:47:08.279077
49,33,Male,India,Bachelor's,Media,Technical Specialist,6,1-50,70.4,Often,50.27,42.06,Medium,6,92.56,83.07,0,65.34,Likely,2024-08-25 04:47:08.279077
50,36,Female,Japan,Bachelor's,Finance,Manager,5,1-50,34.44,Daily,75.0,25.19,Low,18,39.16,53.16,2,55.54,Likely,2025-03-26 04:47:08.279077
51,55,Male,India,Bachelor's,Energy,Staff,4,51-200,72.18,Rarely,77.34,20.51,Low,17,15.26,0.0,1,33.37,Unlikely,2025-05-04 04:47:08.279077
52,59,Male,UK,Bachelor's,Healthcare,Executive,4,51-200,58.81,Rarely,75.26,20.75,Low,33,65.96,48.4,0,59.83,Likely,2024-10-05 04:47:08.279077
53,23,Female,Brazil,Bachelor's,Retail,Manager,3,1-50,54.96,Often,53.54,55.12,Medium,23,65.99,75.26,0,63.57,Likely,2025-02-12 04:47:08.279077
54,21,Male,Australia,Master's,Finance,Staff,5,51-200,37.1,Daily,86.47,4.2,Low,10,30.14,44.85,1,46.56,Unlikely,2024-09-12 04:47:08.279077
55,25,Male,USA,High School,Finance,Manager,6,1-50,63.36,Occasionally,81.27,16.52,Low,29,46.47,45.9,0,67.42,Likely,2025-05-12 04:47:08.279077
56,23,Female,Canada,Bachelor's,Energy,Staff,2,201-1000,49.26,Never,43.76,51.59,Medium,8,40.07,33.55,3,41.78,Unlikely,2024-12-31 04:47:08.279077
57,48,Female,Germany,Bachelor's,Finance,HR,3,51-200,54.85,Rarely,75.77,20.25,Low,13,53.28,57.79,0,84.35,Very Likely,2025-06-20 04:47:08.279077
58,37,Male,UK,High School,Finance,Executive,5,51-200,70.22,Often,92.89,0.86,Low,31,73.08,70.97,0,80.95,Very Likely,2025-06-15 04:47:08.279077
59,45,Female,USA,Bachelor's,Education,Staff,3,1001+,54.01,Rarely,66.23,24.83,Low,10,61.27,69.73,1,60.98,Likely,2025-02-04 04:47:08.279077
60,53,Male,UK,Bachelor's,IT,Manager,4,51-200,64.82,Occasionally,55.85,40.44,Medium,41,84.95,72.5,0,78.2,Very Likely,2025-05-25 04:47:08.279077
61,29,Female,Japan,Master's,Government,Staff,6,51-200,33.48,Occasionally,48.47,55.25,Medium,9,35.29,40.03,0,21.98,Very Unlikely,2024-11-09 04:47:08.279077
62,55,Female,India,Bachelor's,IT,Staff,3,1-50,56.06,Often,52.91,60.37,Medium,7,23.24,26.26,2,33.63,Unlikely,2025-07-29 04:47:08.279077
63,33,Female,USA,High School,IT,Operations,7,51-200,78.48,Rarely,48.4,61.6,Medium,7,57.56,59.66,0,59.06,Likely,2024-09-07 04:47:08.279077
64,50,Other,France,Bachelor's,Education,Staff,7,1-50,76.46,Never,81.16,21.53,Low,6,81.26,65.61,1,97.27,Very Likely,2024-08-26 04:47:08.279077
65,34,Female,France,High School,Government,HR,2,1-50,34.19,Never,54.62,41.77,Medium,9,49.23,50.44,4,41.56,Unlikely,2025-07-07 04:47:08.279077
66,27,Female,Germany,Master's,Healthcare,Manager,4,51-200,45.64,Occasionally,95.51,7.46,Low,20,77.44,77.28,1,71.39,Likely,2024-11-27 04:47:08.279077
67,33,Female,India,Bachelor's,Government,Manager,0,1-50,63.49,Never,62.21,34.22,Medium,17,100.0,90.64,0,95.86,Very Likely,2024-12-29 04:47:08.279077
68,42,Male,USA,Master's,Media,HR,4,201-1000,82.6,Rarely,41.91,63.66,Medium,8,74.3,74.28,1,68.97,Likely,2024-09-12 04:47:08.279077
69,59,Male,Germany,Bachelor's,Manufacturing,Staff,1,51-200,81.68,Occasionally,55.77,36.66,Medium,11,54.44,46.66,0,67.85,Likely,2024-11-30 04:47:08.279077
70,40,Female,South Africa,Master's,Education,Technical Specialist,1,1-50,63.42,Rarely,58.87,48.09,Medium,10,17.28,8.09,2,38.56,Unlikely,2024-09-23 04:47:08.279077
71,35,Female,Canada,Bachelor's,Consulting,Manager,5,1-50,44.53,Occasionally,64.26,36.69,Medium,18,72.43,74.78,0,58.09,Likely,2025-02-13 04:47:08.279077
72,37,Male,Japan,High School,Media,Staff,4,51-200,65.34,Often,70.61,27.37,Low,10,34.11,26.43,1,23.25,Very Unlikely,2024-12-23 04:47:08.279077
73,43,Female,Germany,High School,Education,Executive,5,1-50,55.49,Often,70.17,32.6,Low,29,98.3,88.12,0,82.68,Very Likely,2025-03-23 04:47:08.279077
74,45,Female,South Africa,Master's,Education,HR,4,1001+,52.7,Daily,53.97,51.26,Medium,7,41.77,64.14,0,47.34,Unlikely,2025-06-24 04:47:08.279077
75,44,Prefer not to say,India,Master's,Finance,Operations,3,51-200,39.33,Daily,61.58,44.92,Medium,13,26.16,37.16,3,43.15,Unlikely,2025-02-05 04:47:08.279077
76,60,Female,Canada,High School,Media,HR,4,51-200,48.11,Often,45.25,48.0,Medium,8,50.75,56.25,0,67.82,Likely,2024-10-25 04:47:08.279077
77,48,Male,Japan,Master's,Retail,Staff,6,1001+,53.89,Occasionally,52.91,41.77,Medium,14,50.11,57.35,2,50.29,Likely,2025-02-08 04:47:08.279077
78,34,Male,Brazil,Master's,Education,Staff,7,1001+,60.2,Occasionally,80.31,17.0,Low,4,65.59,85.01,1,59.55,Likely,2025-01-31 04:47:08.279077
79,20,Male,UK,Bachelor's,Education,Staff,7,1001+,43.07,Occasionally,57.48,38.55,Medium,9,42.23,71.81,1,47.15,Unlikely,2024-11-18 04:47:08.279077
80,44,Male,Brazil,Bachelor's,Manufacturing,Staff,9,51-200,60.78,Occasionally,76.79,23.77,Low,12,62.99,47.18,0,71.57,Likely,2025-07-12 04:47:08.279077
81,26,Female,India,High School,IT,Staff,5,1-50,55.88,Rarely,55.6,54.31,Medium,9,46.88,16.96,3,42.48,Unlikely,2024-12-17 04:47:08.279077
82,28,Female,UK,Master's,Retail,Staff,5,1001+,74.43,Rarely,49.38,54.6,Medium,16,59.13,51.71,0,49.41,Unlikely,2025-07-28 04:47:08.279077
83,43,Female,Germany,Bachelor's,IT,Staff,6,1-50,48.95,Never,68.6,32.25,Low,10,80.59,79.89,0,73.75,Likely,2025-07-18 04:47:08.279077
84,20,Female,South Africa,Bachelor's,Energy,Technical Specialist,1,51-200,72.01,Rarely,60.81,38.71,Medium,10,20.11,37.0,1,33.54,Unlikely,2025-06-30 04:47:08.279077
85,27,Male,South Africa,Master's,Finance,Technical Specialist,3,1-50,59.69,Occasionally,75.49,24.37,Low,12,82.1,86.74,0,71.75,Likely,2024-09-08 04:47:08.279077
86,43,Male,Brazil,High School,Government,HR,4,1001+,63.44,Occasionally,87.81,19.24,Low,10,53.35,33.64,1,60.86,Likely,2025-06-10 04:47:08.279077
87,30,Male,USA,Master's,IT,Manager,4,1001+,69.05,Rarely,77.83,22.72,Low,27,66.06,62.74,4,82.22,Very Likely,2025-06-24 04:47:08.279077
88,36,Male,Canada,High School,Consulting,Manager,5,201-1000,64.13,Occasionally,61.31,35.97,Medium,22,80.03,64.64,5,76.11,Very Likely,2024-10-29 04:47:08.279077
89,27,Female,USA,Master's,Consulting,Staff,3,51-200,48.37,Rarely,70.25,24.85,Low,8,52.65,54.78,4,68.18,Likely,2025-05-03 04:47:08.279077
90,54,Male,USA,Bachelor's,Government,Staff,1,201-1000,36.23,Often,60.32,44.87,Medium,9,65.93,49.82,0,65.6,Likely,2024-12-06 04:47:08.279077
91,54,Male,Germany,Bachelor's,Government,Technical Specialist,1,1-50,45.28,Occasionally,62.7,43.62,Medium,7,61.78,39.23,2,68.16,Likely,2024-10-25 04:47:08.279077
92,52,Male,Australia,Bachelor's,IT,Technical Specialist,3,201-1000,66.68,Daily,34.83,62.64,Medium,9,39.45,39.29,1,33.81,Unlikely,2025-03-27 04:47:08.279077
93,24,Female,USA,Master's,Healthcare,Operations,3,1001+,73.63,Occasionally,63.45,44.6,Medium,7,75.74,72.97,1,70.37,Likely,2025-02-13 04:47:08.279077
94,58,Male,Australia,Bachelor's,Media,Staff,2,1-50,68.74,Daily,34.62,65.67,Medium,10,39.41,53.38,1,27.39,Unlikely,2024-12-19 04:47:08.279077
95,60,Female,Germany,Bachelor's,Education,Staff,1,51-200,35.39,Occasionally,67.34,24.35,Low,8,69.99,67.15,1,78.88,Very Likely,2025-06-26 04:47:08.279077
96,47,Male,Canada,Bachelor's,Education,Staff,9,201-1000,73.87,Never,68.74,32.53,Low,12,27.77,35.61,1,48.88,Unlikely,2025-07-21 04:47:08.279077
97,26,Other,South Africa,Master's,Government,Technical Specialist,3,51-200,73.03,Daily,74.43,28.12,Low,12,54.61,44.53,0,72.4,Likely,2025-05-15 04:47:08.279077
98,28,Male,Germany,Bachelor's,Energy,Staff,3,1-50,64.08,Often,53.3,53.28,Medium,6,60.2,75.8,0,48.58,Unlikely,2024-11-23 04:47:08.279077
99,27,Female,Brazil,Bachelor's,Consulting,Staff,5,51-200,68.5,Occasionally,41.71,59.36,Medium,10,28.64,13.87,0,42.95,Unlikely,2025-07-19 04:47:08.279077
100,31,Female,Japan,Master's,Retail,Staff,3,201-1000,54.34,Often,74.38,11.58,Low,15,60.94,52.6,3,61.58,Likely,2025-01-16 04:47:08.279077
101,53,Female,India,Master's,Education,Staff,7,51-200,53.77,Often,62.4,35.27,Medium,12,54.96,65.88,0,44.56,Unlikely,2024-08-31 04:47:08.279077
102,52,Female,Australia,High School,IT,Technical Specialist,7,201-1000,84.87,Rarely,64.57,34.6,Medium,16,23.23,0.0,4,28.4,Unlikely,2024-11-28 04:47:08.279077
103,42,Male,UK,Bachelor's,Energy,Executive,7,1-50,86.43,Never,52.38,50.08,Medium,20,53.57,72.14,0,56.45,Likely,2024-08-19 04:47:08.279077
104,43,Male,India,High School,Energy,Staff,3,51-200,51.35,Never,90.64,14.04,Low,11,51.92,66.21,0,65.16,Likely,2025-01-11 04:47:08.279077
105,56,Male,USA,Master's,Energy,Technical Specialist,4,1001+,42.94,Occasionally,92.89,8.54,Low,11,50.98,66.1,0,76.61,Very Likely,2025-02-24 04:47:08.279077
106,54,Female,Canada,Master's,Media,Staff,7,1001+,51.39,Rarely,53.78,47.41,Medium,15,35.35,16.78,3,30.94,Unlikely,2024-12-18 04:47:08.279077
107,59,Male,Brazil,Master's,Retail,Technical Specialist,2,51-200,45.33,Occasionally,71.25,19.41,Low,11,35.18,22.67,1,52.18,Likely,2024-09-05 04:47:08.279077
108,41,Male,UK,Master's,Healthcare,Technical Specialist,3,51-200,50.71,Daily,54.57,38.7,Medium,6,80.62,92.35,0,76.47,Very Likely,2024-11-19 04:47:08.279077
109,46,Female,Germany,Bachelor's,Energy,Staff,5,51-200,67.77,Occasionally,56.29,43.19,Medium,13,90.16,80.46,0,93.85,Very Likely,2025-05-20 04:47:08.279077
110,54,Female,South Africa,Bachelor's,Government,Manager,2,1-50,45.02,Occasionally,46.96,55.21,Medium,19,68.59,100.0,0,81.57,Very Likely,2025-01-11 04:47:08.279077
111,20,Male,Germany,Bachelor's,Manufacturing,HR,5,1-50,60.34,Never,46.09,64.49,Medium,11,18.11,23.64,0,12.75,Very Unlikely,2024-11-19 04:47:08.279077
112,54,Female,Germany,High School,Healthcare,Executive,9,1-50,42.64,Often,83.64,25.98,Low,26,97.58,100.0,1,100.0,Very Likely,2025-07-04 04:47:08.279077
113,56,Female,Japan,PhD,Government,Staff,2,1001+,53.81,Daily,56.49,45.39,Medium,11,62.37,67.23,0,61.65,Likely,2025-04-15 04:47:08.279077
114,33,Male,Brazil,Bachelor's,Retail,Technical Specialist,5,1-50,26.41,Often,53.37,46.62,Medium,9,72.89,63.99,1,80.99,Very Likely,2025-02-21 04:47:08.279077
115,22,Male,Brazil,PhD,Manufacturing,Staff,3,51-200,44.43,Rarely,69.77,34.46,Medium,7,86.9,70.03,5,97.31,Very Likely,2025-06-28 04:47:08.279077
116,20,Female,USA,Master's,Energy,Manager,11,1-50,68.83,Occasionally,50.11,46.56,Medium,34,57.33,62.72,0,43.16,Unlikely,2025-03-25 04:47:08.279077
117,24,Female,USA,Master's,Consulting,Technical Specialist,4,1-50,60.42,Rarely,36.0,50.47,Medium,10,58.78,55.09,0,62.73,Likely,2024-10-15 04:47:08.279077
118,45,Male,India,Bachelor's,Finance,HR,4,201-1000,51.12,Rarely,59.76,39.45,Medium,17,34.98,52.35,1,33.9,Unlikely,2024-12-16 04:47:08.279077
119,33,Male,Brazil,High School,Retail,Staff,3,201-1000,53.77,Often,89.52,12.29,Low,10,76.9,89.18,0,84.91,Very Likely,2024-10-13 04:47:08.279077
120,58,Female,South Africa,Bachelor's,Healthcare,Technical Specialist,3,1-50,60.35,Rarely,62.57,31.86,Low,15,30.02,47.99,0,50.6,Likely,2024-12-07 04:47:08.279077
121,46,Female,USA,Bachelor's,Consulting,Staff,2,51-200,40.7,Never,65.35,39.73,Medium,12,79.92,83.95,0,62.73,Likely,2025-05-17 04:47:08.279077
122,28,Female,Canada,High School,Consulting,Staff,2,51-200,28.8,Rarely,46.69,47.69,Medium,12,63.95,58.62,0,51.54,Likely,2025-05-05 04:47:08.279077
123,34,Male,Japan,High School,IT,Manager,5,51-200,67.48,Never,53.33,40.41,Medium,20,25.94,11.77,1,47.32,Unlikely,2024-12-15 04:47:08.279077
124,34,Male,India,Bachelor's,Finance,Staff,1,1-50,83.25,Often,45.41,46.68,Medium,20,28.12,37.22,2,31.22,Unlikely,2025-05-29 04:47:08.279077
125,45,Female,UK,Master's,Manufacturing,Staff,5,1001+,81.9,Never,66.35,34.07,Medium,11,54.87,82.05,1,70.09,Likely,2025-03-10 04:47:08.279077
126,32,Male,Australia,Master's,IT,Staff,5,51-200,28.64,Never,72.12,28.52,Low,9,95.26,100.0,1,88.07,Very Likely,2025-05-28 04:47:08.279077
127,51,Prefer not to say,South Africa,High School,Healthcare,Staff,3,51-200,55.17,Rarely,64.47,39.91,Medium,15,73.39,68.6,0,84.29,Very Likely,2025-02-23 04:47:08.279077
128,58,Other,UK,PhD,Manufacturing,HR,4,1-50,54.53,Never,51.98,45.95,Medium,16,58.49,67.2,0,56.32,Likely,2025-02-04 04:47:08.279077
129,51,Male,Canada,Bachelor's,Energy,Staff,4,51-200,89.68,Occasionally,71.59,37.38,Medium,4,43.78,47.62,1,52.69,Likely,2024-11-23 04:47:08.279077
130,23,Female,Japan,Master's,Healthcare,Technical Specialist,6,1001+,82.5,Occasionally,81.65,10.2,Low,14,48.75,45.26,0,46.4,Unlikely,2024-10-12 04:47:08.279077
131,49,Male,Japan,Bachelor's,Education,Executive,3,1-50,58.94,Rarely,67.8,34.84,Medium,19,93.32,100.0,0,73.81,Likely,2025-04-20 04:47:08.279077
132,56,Female,South Africa,Master's,Energy,HR,7,201-1000,43.43,Rarely,59.21,41.58,Medium,14,19.1,18.06,0,44.58,Unlikely,2025-04-12 04:47:08.279077
133,42,Male,Germany,Master's,Government,Manager,8,51-200,55.55,Rarely,45.56,52.66,Medium,24,67.25,76.48,0,61.66,Likely,2024-09-18 04:47:08.279077
134,58,Male,France,Bachelor's,Consulting,Staff,3,201-1000,63.4,Often,89.71,14.48,Low,11,44.34,22.29,4,68.61,Likely,2024-08-27 04:47:08.279077
135,34,Female,Japan,Bachelor's,Consulting,Staff,6,51-200,63.46,Never,57.86,41.3,Medium,13,68.85,74.28,1,49.93,Unlikely,2024-09-28 04:47:08.279077
136,48,Female,Brazil,Master's,Finance,Staff,2,1001+,45.5,Daily,78.82,21.78,Low,12,52.86,47.73,0,82.37,Very Likely,2024-10-20 04:47:08.279077
137,55,Male,France,PhD,IT,Operations,5,1-50,62.99,Daily,51.13,50.78,Medium,8,75.8,98.44,2,64.68,Likely,2025-06-20 04:47:08.279077
138,32,Female,Brazil,Master's,Retail,Staff,8,51-200,33.85,Occasionally,54.67,42.31,Medium,14,66.78,59.66,4,53.18,Likely,2024-10-23 04:47:08.279077
139,51,Male,Germany,High School,IT,Executive,4,51-200,61.43,Never,48.59,30.53,Low,31,99.9,83.7,3,82.62,Very Likely,2025-07-17 04:47:08.279077
140,26,Male,Germany,Bachelor's,Retail,Staff,6,1001+,51.43,Occasionally,75.56,24.05,Low,9,51.68,34.31,0,60.64,Likely,2025-03-07 04:47:08.279077
141,41,Male,Germany,Bachelor's,Government,Staff,5,1-50,68.0,Often,70.66,27.59,Low,17,52.97,61.01,0,44.42,Unlikely,2025-06-04 04:47:08.279077
142,47,Male,USA,Master's,Media,Staff,3,1-50,60.35,Occasionally,69.73,33.63,Medium,9,62.13,37.95,5,59.65,Likely,2024-09-04 04:47:08.279077
143,21,Male,Australia,Master's,Energy,HR,3,51-200,48.47,Often,74.51,20.13,Low,10,87.91,100.0,1,95.1,Very Likely,2025-02-16 04:47:08.279077
144,25,Male,Germany,High School,Energy,Staff,4,51-200,66.67,Rarely,65.95,28.13,Low,8,35.88,35.51,0,50.29,Likely,2025-02-14 04:47:08.279077
145,47,Male,Brazil,PhD,IT,Staff,2,51-200,60.27,Rarely,63.49,27.03,Low,7,10.87,5.43,2,24.03,Very Unlikely,2025-06-04 04:47:08.279077
146,47,Male,Brazil,Bachelor's,Government,Manager,6,51-200,73.48,Occasionally,72.03,27.99,Low,35,31.52,44.1,1,44.13,Unlikely,2025-03-30 04:47:08.279077
147,39,Female,India,High School,Manufacturing,Manager,5,1001+,100.0,Never,71.03,49.16,Medium,17,72.24,62.61,0,84.76,Very Likely,2025-04-30 04:47:08.279077
148,49,Other,Australia,Bachelor's,Media,Staff,5,201-1000,58.36,Often,55.07,47.56,Medium,11,8.78,21.72,0,31.92,Unlikely,2024-12-09 04:47:08.279077
149,30,Male,South Africa,High School,Manufacturing,HR,3,51-200,50.59,Rarely,40.64,63.82,Medium,9,55.21,33.63,0,36.01,Unlikely,2025-05-13 04:47:08.279077
150,47,Other,South Africa,Bachelor's,Finance,Staff,5,201-1000,50.62,Often,45.32,52.11,Medium,8,35.8,25.6,0,24.83,Very Unlikely,2024-08-08 04:47:08.279077
151,44,Female,Australia,High School,IT,Staff,5,1-50,81.87,Daily,81.06,17.93,Low,9,16.1,33.21,3,48.74,Unlikely,2025-07-17 04:47:08.279077
152,58,Female,UK,Bachelor's,Government,Staff,1,1-50,65.35,Rarely,43.12,63.12,Medium,13,53.28,54.92,3,51.87,Likely,2024-09-30 04:47:08.279077
153,52,Female,USA,Master's,Government,Technical Specialist,4,201-1000,64.18,Rarely,98.99,0.0,Low,12,67.58,98.24,3,81.54,Very Likely,2025-07-18 04:47:08.279077
154,20,Female,France,Bachelor's,Healthcare,Staff,6,201-1000,53.04,Never,82.21,17.08,Low,9,34.61,38.01,0,52.72,Likely,2025-05-04 04:47:08.279077
155,46,Male,South Africa,High School,Education,HR,6,1001+,54.91,Never,90.83,0.88,Low,6,54.07,18.54,0,68.46,Likely,2024-12-17 04:47:08.279077
156,32,Female,Germany,Bachelor's,Energy,Staff,6,1001+,41.17,Never,41.49,56.93,Medium,9,81.11,93.84,0,59.86,Likely,2025-06-27 04:47:08.279077
